Session,SessionOrder,ID,Condition,Length,Width,Thickness,Color,Shape,HunterInfo
B,1,B1,0,5,6,5,3,5,
B,2,B2,0,5,6,6,1,2,
B,3,B3,0,6,4,6,7,5,
B,4,B4,0,5,7,7,2,5,
B,5,B5,0,6,5,5,2,4,
B,6,B6,0,7,7,7,5,5,
B,7,B7,0,5,4,6,5,5,
B,8,B8,0,6,3,5,3,6,
B,9,B9,0,6,6,6,2,6,
B,10,B10,0,4,6,6,5,5,
B,11,B11,0,6,6,3,1,5,
B,12,B12,0,6,6,6,2,5,
B,13,B13,0,5,7,7,3,5,
B,14,B14,0,6,6,6,4,5,
B,15,B15,0,7,7,5,6,6,
B,16,B16,0,7,7,7,1,1,
B,17,B17,0,7,7,6,2,6,
B,18,B18,0,3,5,6,2,3,
B,19,B19,0,3,7,7,1,1,
C,1,C1,2,7,7,7,2,3,7
C,2,C2,2,5,6,6,4,7,7
C,3,C3,2,6,7,7,2,6,7
C,4,C4,2,3,7,5,2,5,5
C,5,C5,2,6,7,6,2,5,7
C,6,C6,2,3,7,7,5,7,7
C,7,C7,2,6,6,6,2,3,7
C,8,C8,2,4,2,6,1,5,7
C,9,C9,2,6,6,7,5,5,7
C,10,C10,2,7,7,7,1,2,7
C,11,C11,2,2,5,5,2,3,2
C,12,C12,2,4,3,7,2,3,7
C,13,C13,2,5,5,5,5,5,7
C,14,C14,2,6,6,6,2,5,6
C,15,C15,2,3,5,5,5,6,7
C,16,C16,2,6,7,7,3,5,7
D,1,D1,2,7,7,7,1,1,7
D,2,D2,2,3,6,5,2,5,7
D,3,D3,2,6,6,6,5,5,4
D,4,D4,2,3,7,6,2,3,7
D,5,D5,2,7,7,7,2,6,7
D,6,D6,2,5,6,5,2,2,7
D,7,D7,2,5,5,6,2,3,7
D,8,D8,2,6,6,6,5,5,5
D,9,D9,2,7,7,7,7,5,7
D,10,D10,2,5,7,7,5,5,6
D,11,D11,2,6,7,7,1,3,7
E,1,E1,0,6,6,5,4,5,
E,2,E2,0,5,5,3,3,6,
E,3,E3,0,6,6,6,2,2,
E,4,E4,0,5,6,6,3,5,
E,5,E5,0,6,4,5,5,7,
E,6,E6,0,6,3,5,1,5,
F,1,F1,2,3,6,7,2,5,7
F,2,F2,2,5,6,6,1,7,7
F,3,F3,2,7,7,7,3,5,7
F,4,F4,2,6,6,7,3,7,7
F,5,F5,2,6,7,6,2,2,7
F,6,F6,2,6,6,6,4,5,7
G,1,G1,1,6,7,7,2,5,2
G,2,G2,1,5,5,7,2,6,5
G,3,G3,1,7,7,7,2,6,2
G,4,G4,1,6,6,6,2,5,5
G,5,G5,1,6,7,5,1,7,7
H,1,H1,1,7,7,7,2,5,4
H,2,H2,1,6,7,7,5,7,2
H,3,H3,1,7,7,7,2,5,7
H,4,H4,1,6,5,6,2,5,5
H,5,H5,1,6,6,6,2,2,1
H,6,H6,1,7,7,7,4,5,6
H,7,H7,1,6,6,3,5,4,3
H,8,H8,1,6,6,6,3,4,5
H,9,H9,1,7,6,5,2,6,7
H,10,H10,1,6,6,7,1,5,6
H,11,H11,1,7,7,7,2,5,7
H,12,H12,1,6,5,7,3,5,5
H,13,H13,1,5,6,5,3,5,3
I,1,I1,1,7,7,7,6,5,6
I,2,I2,1,6,7,7,3,5,3
I,3,I3,1,6,6,6,5,5,6
I,4,I4,1,5,7,6,2,5,2
I,5,I5,1,6,5,5,7,5,5
I,6,I6,1,5,3,6,3,5,7
I,7,I7,1,5,3,6,2,6,6
I,8,I8,1,5,6,5,5,6,6
I,9,I9,1,3,3,5,3,7,4
J,1,J1,1,5,6,6,3,3,3
J,2,J2,1,3,6,7,1,7,6
J,3,J3,1,7,7,7,6,6,7
J,4,J4,1,7,7,7,1,1,5
J,5,J5,1,6,6,6,3,2,4
K,1,K1,1,6,3,6,2,5,2
K,2,K2,1,6,6,6,5,5,5
K,3,K3,1,6,6,7,2,5,6
K,4,K4,1,5,4,5,5,5,5
L,1,L1,2,6,6,6,5,5,7
L,2,L2,2,5,5,5,3,3,7
L,3,L3,2,6,4,6,5,5,3
M,1,M1,2,3,6,6,2,5,7
M,2,M2,2,5,7,6,2,2,4
M,3,M3,2,6,7,6,2,5,7
M,4,M4,2,5,5,5,2,2,7
N,1,N1,0,6,6,6,7,7,
N,2,N2,0,7,6,7,6,6,
N,3,N3,0,6,6,6,1,5,
N,4,N4,0,5,6,6,4,5,
O,1,O1,0,5,5,6,1,6,
O,2,O2,0,6,6,6,3,5,
O,3,O3,0,3,2,7,3,5,
P,1,P1,0,6,6,5,3,3,
P,2,P2,0,3,3,5,5,6,
P,3,P3,0,5,7,6,5,6,
P,4,P4,0,6,4,6,5,7,
Q,1,Q1,0,6,2,3,5,5,
Q,2,Q2,0,7,7,7,4,5,
Q,3,Q3,0,6,7,7,2,5,
R,1,R1,1,7,7,7,4,7,5
R,2,R2,1,5,3,5,2,3,2
R,3,R3,1,6,6,6,5,6,4
R,4,R4,1,5,5,3,2,6,6